time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
38549,1876,1956,15136,-243,-59,237,166368,81711
38691,1388,2064,15300,-136,159,-156,166405,81647
38831,1584,1740,15172,-43,125,-153,166047,81592
38971,1624,1948,15272,-238,-11,47,166159,81742
39111,1524,1864,15316,-287,12,-150,166308,81726
39251,1416,1772,15248,-49,232,82,166429,81762
39391,1376,2088,15392,-51,311,-41,166087,81639
39533,1400,1832,15264,-108,74,186,166045,81610
39673,1304,2220,15236,115,177,443,165973,81681
39813,1524,968,16436,-2562,1882,30,167159,82090
39953,-632,1384,20696,-9804,-1738,1873,168297,82229
40093,6180,-3004,13020,-21708,-1621,4801,168356,82238
40235,224,-7288,1456,4981,5964,2634,165461,81428
40375,-2160,3308,21988,24450,57,3017,171140,82974
40515,2612,-2028,23104,-23232,-492,-5494,173045,83469
40655,3804,-6568,3668,-9246,2979,552,168075,81900
40795,5096,3504,7992,32767,-3911,4001,168217,82644
40935,-2148,-3304,31512,-15353,-2381,-2318,172867,83296
41077,1160,-3988,5736,-19971,4567,3858,170453,82569
41217,-948,-2672,240,27554,-2851,3950,165701,81764
41357,-4232,-2072,32767,-15351,-2493,-3582,173128,83404
41497,516,-4280,2844,-19225,3672,3877,170108,82640
41637,-1764,-2112,1444,32767,-8977,832,167559,82642
41779,-1776,-3620,32767,-20469,-8269,-3140,173946,83606
41919,-56,-5580,-1324,-15229,782,5173,171514,82847
42059,-1896,-2268,10152,32767,-1411,-2356,170479,83381
42199,-880,-5488,26756,-22143,-10283,168,173847,83676
42339,-2540,-6120,252,-8519,3820,1214,170851,82952
42481,-1268,-2928,14972,27080,-2479,-3085,172456,83428
42621,-1856,-6180,22220,-23990,-6096,3344,173976,83747
42761,-3452,-5952,-748,1650,1400,1325,171489,83324
42901,-1812,-3884,26128,8056,250,-3103,173795,83798
43041,-1772,-5908,14008,-4532,403,1155,173811,83789
43181,-1080,-6752,11740,-2658,28,1118,173829,83774
43323,-1856,-4028,7960,22115,781,-2271,172693,83638
43463,-1556,-5268,23508,-17403,-5665,-1154,173871,83878
43603,-1296,-5484,-448,5927,-344,1047,171146,83059
43743,3536,8056,32767,2695,3004,-3969,174596,83990
43883,-992,-4736,5752,-10462,981,2934,171567,83033
44025,-5460,880,14332,24521,-164,-1630,167358,82790
44165,-60,-5420,13416,-18933,-3586,4808,171967,83165
44305,-2316,-4176,2316,16613,7040,-163,165840,81933
44445,1924,-2420,22144,-13519,-6382,1754,173258,83824
44585,-2412,-4900,2620,7765,3246,2034,165832,81723
44725,7716,7576,30636,-7458,-8206,-168,172918,83668
44867,-2184,-3996,4708,-964,25,2403,166646,81805
45007,8540,8044,32732,1219,-5324,-2905,173412,83869
45147,-560,-3220,7024,-7914,1304,3936,168169,82334
45287,-3824,-256,26812,14681,-1867,-7342,171104,83781
45427,-68,-3072,8144,-10921,-881,895,168947,82237
45569,-3468,-464,20148,16203,953,-5634,168237,83324
45709,244,-3924,10764,-12470,-1952,1053,168699,82255
45849,-4496,-4132,10980,20092,5938,-5013,166129,82773
45989,-724,-6112,13604,-14674,-5071,880,168933,82369
46129,-4932,-2576,7208,17191,7004,-3432,165168,81742
46269,2140,-2648,17836,-12353,-7548,-1641,169105,82418
46411,-3716,-5960,3964,12972,7939,-4519,164744,81386
46551,4520,-3112,18760,-13567,-6793,1697,168868,82339
46691,-1916,-4032,3852,10798,4633,-2337,164804,81482
46831,5288,484,23364,-11227,-8725,661,169148,82571
46971,-2544,-4192,4372,5392,3351,646,164665,81365
47113,7144,5180,25312,-7396,-5950,2464,168985,82530
47253,-2320,-4460,4596,3386,3533,1644,164832,81345
47393,7228,7868,27808,-7694,-4368,242,170169,83069
47533,-1972,-4904,4960,-215,766,1972,165381,81550
47673,8944,11872,32767,6148,-3468,-6501,171711,83445
47815,-712,-4312,8124,-13802,-486,7549,165703,81538
47955,-6088,-2800,10320,19564,8381,-2819,166050,82248
48095,4704,-5256,16356,-18051,-5671,6882,171186,82926
48235,-2900,-5480,3220,12683,7420,-1281,165494,81799
48375,6468,-4284,21456,-15767,-9724,4185,172422,83538
48515,-1804,-6264,1304,11487,3636,-739,165450,81631
48657,6140,404,26868,-13141,-8245,108,173090,83785
48797,-1684,-5460,2116,5593,3864,1287,165818,81739
48937,10704,11800,32767,1715,-4522,-4442,172869,83899
49077,-1872,-4428,5036,-10270,27,1506,165571,81657
49217,-1800,2420,22540,19306,5521,-4477,168503,83350
49359,180,-4384,12276,-20238,-1733,5167,168570,82324
49499,-1828,-5224,832,18787,9507,-1332,165464,81710
49639,3944,-3188,24744,-15802,-5256,1808,172293,83553
49779,-1228,-5736,2828,3417,6734,-1411,165722,81794
49919,1388,9392,32644,-2720,6899,-1398,173176,83771
50059,-2004,-5336,5832,-7295,-364,1988,168570,82335
50201,-940,1168,30784,9058,2189,-3261,173316,84039
50341,-1180,-4636,6668,-15139,2506,313,170013,82671
50481,-6160,-3740,17752,20752,2064,-2529,168847,83680
50621,-60,-6376,10760,-18379,-1174,-3105,171548,83329
50761,1944,-5320,16996,6648,-1232,1099,170960,83746
50901,788,-6968,12032,-1736,1326,-296,171441,83388
51043,-1016,-6028,14412,30,2567,451,172668,83832
