time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
24689,580,2076,15344,105,284,-21,0,0
25292,-156,2008,15668,-471,-205,-867,0,0
25895,308,2180,15324,-41,175,115,0,0
26312,1004,5528,18448,-4392,1458,1475,0,82488
26438,-1640,-6424,-1896,20097,-6148,-429,169119,82346
27041,3304,-3360,23128,26756,-174,-10112,0,0
27644,3876,-2936,20308,13464,1203,-2727,0,0
28042,792,-4360,15592,11706,1435,-2455,0,82972
28645,4540,-4120,15180,17729,-3476,-5889,0,0
29248,3528,-5760,13932,-50,-1030,-730,0,0
29851,1260,-8860,8324,-9694,2280,4520,0,0
30454,1312,-7672,3752,-6529,-2937,3839,0,0
31057,-1512,-7916,-2284,10883,-2691,2328,0,0
31660,-3124,-6636,-2460,32767,-2495,-5435,0,0
32263,1548,-9232,11900,-4512,-99,1974,0,0
32866,2228,-3528,26992,-8015,-9026,-4229,0,0
33469,-700,-1696,16400,-13487,553,4736,0,0
34072,1936,-3332,14696,-25958,1413,5220,0,0
34675,3032,-3372,14148,955,-167,-811,0,0
35278,1708,-7384,11816,-2569,2248,192,0,0
35881,3820,-9036,14248,-7066,2451,579,0,0
36484,2052,-5380,10260,-17912,-287,3675,0,0
37087,-1604,-10592,3304,-11283,-3114,6297,0,0
37690,-2332,-8704,-3336,15035,-2661,3192,0,0
38293,2520,-4032,14736,-3860,-216,-1721,0,0
38896,3300,2692,11324,21705,11981,30879,0,0
39499,-8604,-1620,18648,10548,957,21319,0,0
40102,-11836,-3480,24960,330,-2342,4902,0,0
40705,360,-1584,17672,-3778,1937,328,0,0
41308,-820,-4860,17696,-10357,2224,-3127,0,0
41911,824,-972,21208,-19835,123,757,0,0
42514,2596,-6776,8496,-20621,3415,3710,0,0
43117,-344,-8720,2700,2261,-2066,560,0,0
43720,1456,-612,13460,-2738,-422,-526,0,0
44323,-432,-7628,-1968,12065,-5187,185,0,0
44926,-952,-2036,4908,32767,5078,-9757,0,0
45529,7508,10000,32767,8530,-5114,-9671,0,0
46132,976,-8056,20712,-6273,-14608,-5194,0,0
46735,2596,-4364,15396,-162,-628,-1361,0,0
47338,1348,228,29120,11937,-1582,-7222,0,0
