[,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
1073,-24,4184,15156,-6,2221,-166,177435,86951
1213,-800,3556,14864,-219,-1542,-1974,177488,86994
1353,-204,3544,14848,70,1260,392,177577,87165
1493,292,4024,14752,-337,-896,126,177621,87210
1633,2320,4004,15420,-503,-5706,858,177301,87113
1773,3024,3576,14924,276,471,1543,177667,87219
1915,1748,3616,15112,-377,823,175,178526,87460
2055,316,3648,15136,-1031,3648,747,178785,87581
2195,608,3356,14940,-1097,-201,244,178889,87651
2335,1060,3124,15140,-730,361,-145,179003,87655
2475,-164,2380,15344,-25,-85,-368,178996,87610
2617,680,3568,15076,491,62,585,179054,87654
2757,300,2792,15168,-95,-1462,-1119,179149,87706
2897,56,3144,15204,-154,-2024,-764,179263,87861
3037,1272,2880,15112,-211,-801,-299,179564,87809
3177,1920,3240,14908,-53,-386,-259,179527,87824
3319,1680,3084,14892,-90,45,-129,179622,87791
3459,1988,3272,14940,-149,-283,-75,179562,87814
3599,1868,3260,15032,-261,-85,-53,179648,87921
3739,1888,3184,14992,-121,136,-16,179733,87880
3879,1852,3248,14960,-336,290,-280,179570,87867
4021,1648,3148,15132,-148,43,-33,179589,87836
4161,1668,3220,15000,-150,135,-108,179711,87857
4301,1752,3188,15016,-96,40,-26,179729,87948
4441,1680,3360,14876,-243,-27,-143,179802,87970
4581,1564,3164,15088,-186,19,-114,179588,87877
4721,1560,3232,14924,-262,-148,-136,179609,87869
4863,1724,3084,15048,-152,-202,-98,179763,87908
5003,1800,3212,15084,-249,112,-82,179722,87957
5143,1616,3148,15040,-168,110,-144,179773,88004
5283,1648,3208,15136,-192,52,-131,179730,87970
5423,1652,3256,15036,-173,64,-86,179571,87890
5565,1796,3144,14992,-271,188,-85,179746,87952
5705,1684,3060,15132,-229,-64,-136,179740,87942
5845,1704,3112,15012,-52,117,-70,179734,88108
5985,1856,3212,15056,-133,153,-6,179935,87986
6125,1620,3312,15028,-117,170,-67,179685,87969
6267,1632,3188,15084,-246,196,-105,179800,87971
6407,1696,3176,15080,-277,-2,-27,179733,87960
6547,1744,3132,14964,-276,94,-114,179844,88104
6687,1740,3164,14984,-190,95,-101,179905,88077
6827,1704,3096,15008,-134,180,-44,179880,88072
6969,1844,3268,15076,-120,134,-45,179748,88030
7109,1704,3236,15068,-125,27,-55,179863,88021
7249,1680,3212,15024,-89,5,-85,179863,88115
7389,1864,3260,15100,-111,24,-101,179905,88157
7529,1740,3128,15032,-187,65,-97,179862,88095
7669,1764,3256,14968,-224,211,-115,179747,88019
7811,1820,3168,14988,-229,163,-152,179888,88098
7951,1632,3136,15052,-169,69,-92,179878,88105
8091,1732,3180,15048,-213,131,-124,179909,88217
8231,1708,3156,14976,-171,11,-141,179906,88079
8371,1704,3176,15080,-164,142,-123,179744,88099
8513,1780,3152,15032,-218,63,-72,179933,88085
8653,1852,3160,15036,-167,115,-40,179857,88113
8793,1760,3236,15028,-193,91,-128,179979,88228
8933,1796,3168,15004,-174,-8,-118,179902,88158
9073,1720,3212,15024,-196,114,-78,179809,88172
9215,1804,3184,14988,-155,123,-54,179844,88140
9355,1744,3216,14924,-166,68,-97,179980,88157
9495,1672,3188,15084,-166,45,-88,179864,88270
9635,1740,3188,14964,-157,25,-54,179313,88245
9775,1728,3172,15036,-120,80,-57,179239,88194
9915,1816,3176,14928,-196,57,-93,179334,88137
10057,1784,3188,14980,-189,85,-58,179478,88215
10197,1868,3152,15140,-160,-7,-91,179471,88273
10337,1888,3280,14940,-247,54,-106,179254,88261
10477,1868,3184,14956,-210,99,-66,179368,88229
10617,1788,3200,14996,-218,145,-103,179351,88266
10759,1860,3160,15024,-206,123,-79,179621,88289
10899,1908,3220,15040,-183,119,-80,179561,88247
11039,1748,3148,14968,-246,-6,-78,179381,88363
11179,1764,3200,14924,-167,77,-103,179410,88293
11319,1768,3144,15072,-149,76,-84,179462,88328
11461,1772,3180,15068,-163,100,-69,179514,88325
11601,1776,3180,15044,-203,224,-57,179624,88315
11741,1820,3204,14988,-178,132,-61,179413,88358
11881,1728,3196,14964,-178,55,-87,179461,88404
12021,1732,3240,14984,-138,74,-23,179480,88372
12161,1764,3220,15128,-156,92,-58,179587,88319
12303,1796,3188,15028,-161,-28,-75,179589,88365
12443,1696,3152,14944,-185,188,-87,179448,88322
12583,1752,3176,15016,-242,162,-91,179479,88505
12723,1780,3208,15052,-166,23,-6,179585,88393
12863,1752,3176,15020,-194,44,-101,179651,88429
