time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
50807,-1100,9092,10500,11712,-5250,-6912,167099,79543
50947,-636,16828,10304,11252,-8140,-7229,166766,79636
51087,-348,12760,6468,7439,-8336,-5988,166431,79425
51227,-756,14356,5296,3529,-5718,-4097,165884,79291
51369,-1752,14420,5256,405,-809,-752,165616,79103
51509,-956,14604,4912,1049,-2019,-497,165226,79030
51649,-1364,15104,5240,100,1610,1073,164855,79051
51789,-1644,15096,4812,-380,-588,411,164728,78961
51929,-1060,15600,4704,-502,-670,425,164570,78892
52069,-340,14952,4736,-688,-665,1515,164374,78769
52211,-608,15156,5492,120,2207,1126,164191,78765
52351,-852,16340,6012,-614,5148,249,164065,78792
52491,296,15700,5284,-1336,921,1738,164091,78815
52631,-296,14940,5220,-282,2943,1431,164370,78816
52771,-680,14684,5740,265,550,-665,164220,78806
52913,-480,15196,5944,28,-1141,-1450,164477,78777
53053,-100,15960,5348,326,1591,-94,164308,78793
53193,16,15720,5248,-109,66,-233,164529,78950
53333,-116,15504,6236,243,3395,-22,164441,78897
53473,28,15724,5492,-2580,-1642,104,164404,78873
53613,-1436,13748,5716,-1675,849,220,164591,78951
53755,-88,14536,5652,-810,-286,-124,164856,78958
53895,-540,14172,6284,1439,619,-572,164645,78970
54035,-720,14800,6684,383,-100,539,164614,79017
54175,-476,14728,5784,-122,110,1616,164671,78982
54315,-288,15016,5940,-360,-275,614,164711,79003
54457,-8,14924,6036,-517,3575,444,164801,79003
54597,-376,14328,5636,-2031,-1674,51,164744,78956
54737,260,14384,6800,423,2825,-76,164839,79218
54877,-896,14072,6076,-471,1261,1153,165680,79313
55017,-1544,13148,5744,2183,4384,209,166173,79468
55159,-884,14760,6392,1142,-1202,-963,166374,79435
55299,-244,15192,5628,-538,-1406,122,166239,79423
55439,-48,14908,5524,-221,-662,145,166262,79541
55579,-772,15104,5952,-567,867,644,166190,79468
55719,-992,15128,5872,-896,-850,-417,166046,79455
55861,-324,14388,5628,-28,1162,-929,166081,79368
56001,-376,14688,5840,449,1503,-539,165994,79398
56141,-556,14720,5600,25,982,571,165851,79464
56281,-632,15248,5692,323,1219,697,165853,79462
56421,-992,15260,5512,55,1547,9,165894,79458
56561,-1536,14820,5428,733,3538,-575,166336,79489
56703,-1456,15052,5432,237,3850,-296,166444,79582
56843,-1908,14920,4204,357,967,-243,166346,79579
56983,-1456,15236,4312,336,-1438,121,166131,79610
57123,-1664,14716,4300,1559,496,-284,166031,79501
57263,-1952,16280,4364,-101,-2046,-592,165861,79504
57405,-1132,14988,3492,1423,-3187,-1142,165814,79442
57545,-16,15520,4100,167,-2079,877,165663,79370
57685,-1632,15700,3476,-1370,-2360,521,165392,79437
57825,-1572,15484,4140,-1003,-1878,447,165141,79215
57965,-236,15472,4928,-1007,1683,293,165013,79232
58107,-224,15544,4480,-769,5618,847,165389,79299
58247,-748,16100,4324,164,60,80,165398,79300
58387,-572,14904,4440,389,-3776,-709,165591,79478
58527,-180,14896,4272,317,-365,585,165728,79461
58667,-52,16228,4684,1579,-1378,-1443,165746,79487
58809,-456,15484,4152,145,-1789,109,165674,79379
58949,-672,15356,4420,134,-1559,-720,165833,79474
59089,-196,15444,4276,-128,1090,-545,165817,79583
59229,-816,15764,3876,-1743,-162,170,165934,79594
59369,152,15248,3964,-825,1485,416,165833,79569
59509,-524,15772,4360,-1060,1154,456,165957,79584
59651,-80,14812,4800,309,210,-4,166257,79667
59791,-1376,15368,4876,-177,-1635,-563,166060,79636
59931,-424,14916,4724,-245,701,306,165934,79715
60071,-100,15640,4768,798,-366,-355,166067,79637
60211,20,15420,4636,-268,1078,908,166015,79701
60353,-612,15660,4800,355,2067,-692,166142,79657
60493,-360,15252,4572,-793,1427,-446,165973,79687
60633,-704,15572,3856,-878,-830,-54,165972,79793
60773,-460,15164,4156,566,2097,-119,166102,79770
60913,-1012,15320,4236,-32,1568,651,166040,79729
61053,-1048,15520,4328,-273,1181,555,166000,79701
61195,-896,15340,4428,-521,-416,-118,166139,79734
61335,-404,15104,4584,-578,-916,-110,166000,79747
61475,-408,15624,4440,-292,-308,24,165921,79778
61615,-496,15152,4572,814,836,79,165862,79749
61755,-952,15612,4360,-81,-1097,119,165849,79723
61897,-912,15268,4648,414,747,-483,166103,79770
62037,-608,15400,4336,-451,1406,-9,166049,79733
62177,-764,15468,4064,-851,-501,402,165849,79842
62317,-748,15516,4264,-644,21,229,165919,79734
62457,-400,15284,4416,28,296,-252,165782,79764
62599,-232,15300,4488,-205,-1036,47,165987,79771
62739,-752,15304,4504,-96,-107,-106,165832,79694
62879,-332,15332,4716,-242,214,-249,165675,79849
63019,-408,15280,4472,-348,238,34,165754,79716
63159,-412,15240,4424,-30,445,89,165715,79764
63301,-524,15368,4512,-172,79,369,165925,79778
63441,-852,15332,4528,-172,146,-23,165746,79732
63581,-232,15324,4492,-219,23,-199,165747,79934
63721,-252,15236,4532,-225,101,-180,165803,79835
63861,-240,15252,4420,-230,256,57,165800,79852
64003,-256,15436,4624,-96,-60,32,165949,79814
64143,-160,15368,4596,-27,157,-51,165801,79834
64283,-116,15292,4560,-159,47,-41,165842,79954
64423,-168,15328,4628,-188,315,-97,165957,79900
64563,-52,15364,4528,-272,-216,89,165945,79949
64705,-208,15288,4276,75,100,-123,165935,79890
64845,-92,15436,4676,136,273,-169,165967,79872
64985,-320,15324,4640,-346,525,79,165943,80011
65125,-236,15324,4320,-379,577,32,166012,80020
65265,-400,15412,4324,-50,374,34,166002,79971
65405,-568,15328,4524,-153,250,-131,165937,79910
65547,-464,15416,4416,-361,-49,-346,166045,79986
65687,-224,15376,4456,-255,-546,-346,165972,79966
65827,-260,15176,4568,56,-222,-110,165986,80080
65967,-468,15316,4664,-245,-206,167,166051,79974
66107,-436,15336,4804,-272,-61,-103,165919,79997
66249,-124,15136,4456,-354,374,84,166058,79960
66389,-216,15432,4612,-96,420,150,165991,80003
66529,-368,15380,4848,-472,-87,194,166047,80124
66669,-312,15396,4828,-467,505,-76,166000,80071
66809,-376,15076,4836,-288,493,-191,165949,80049
66949,-188,15240,4716,72,782,-138,165981,80043
67091,-488,15252,4716,-228,442,326,166130,80049
67231,-520,15248,4580,-164,529,-192,166022,80094
67371,-548,15260,4656,-279,167,-180,165879,80130
67511,-568,15232,4820,-275,-166,-181,165903,80098
67651,-740,15128,4852,-105,249,-194,165876,80051
67793,-536,15128,4776,4,29,-288,166042,80090
67933,-492,15088,4736,191,-229,-159,165926,80024
68073,-392,15240,4800,37,-499,23,165810,80205
