time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
41967,2568,14884,4840,-84,-212,7,151721,69920
42107,2736,15056,5040,-66,97,-39,151807,69875
42249,2764,15120,5064,-204,67,-105,151887,69950
42389,2776,14980,5088,-266,216,149,151821,69996
42529,2528,14676,4980,86,486,343,151798,70008
42669,3072,16044,5480,789,1322,524,151825,69982
42809,4340,13896,5052,3266,6757,4082,151703,69941
42951,6324,15944,3948,1424,12548,6547,151588,69909
43091,5336,15284,4776,-4354,6477,4352,151489,69875
43231,5180,13260,5192,-4132,4545,2249,151797,70151
43371,1940,15520,5804,-2025,1716,-513,152348,70168
43511,1856,12064,6148,3714,5117,-1634,152833,70332
43653,328,15424,7552,7854,1970,-6894,153300,70343
43793,-536,14964,7120,4648,-3499,-6946,152964,70234
43933,2028,15024,6516,4220,4655,-3109,152243,70224
44073,1272,16504,3424,-3791,5322,6234,151968,70143
44213,864,16404,828,-1785,6656,7580,152488,70292
44355,2480,16860,3292,-412,5874,6442,152680,70277
44495,3372,15124,3736,-2428,1983,4303,152717,70323
44635,5168,13780,4180,-3431,-168,2820,152619,70398
44775,3728,14860,5348,-2104,567,-462,152770,70440
44915,1764,14268,4788,-1150,-1489,-2881,153243,70579
45057,1736,14904,4932,483,-4681,-7860,153395,70521
45197,768,16296,6732,2980,-4595,-8868,153685,70615
45337,508,14208,5748,1080,-6956,-7913,153476,70698
45477,2344,14184,5120,465,-10834,-3810,152811,70424
45617,996,14972,5736,-2399,-24,3708,152990,70495
45759,2272,16788,6580,-4663,-721,6654,152631,70418
45899,1852,14312,6828,-4406,2056,6507,152945,70485
46039,2704,13760,7356,-4616,-1673,2618,152913,70551
46179,4128,13028,8156,-3321,-3104,-2420,152887,70581
46319,5056,10968,9112,-2038,-3313,-3189,152536,70501
46459,2632,12216,8540,-2796,-4860,-5718,152924,70540
46601,2240,13096,8688,-1818,-8702,-9052,153279,70672
46741,1788,13440,8688,-1502,-11202,-10344,153548,70808
46881,4216,11940,8644,-3551,-12507,-7341,153577,70830
47021,5220,11432,8620,-1305,-8279,-3269,153239,70694
47161,5772,12496,9976,-2071,-2506,-1349,153407,70645
47303,7948,11144,10328,-7188,-4733,2268,153037,70619
47443,7732,9856,10100,-7318,-5167,2536,153125,70657
47583,6776,7356,9572,-5653,-1901,754,153278,70760
47723,7080,8804,9700,-3321,-3364,-5329,153398,70694
47863,6060,9036,8440,-1116,-5726,-10225,153545,70773
48005,6616,11688,8324,388,-9178,-13694,153744,70775
48145,9804,11988,8500,1500,-9425,-11024,153408,70713
48285,8068,11688,7616,1429,423,-3277,153747,70943
